School,GSR,FGR
Air Force,93,NULL
Akron,74,76
Alabama,89,66
Alabama at Birmingham,80,44
Appalachian State,81,57
Arizona,75,61
Arizona State,87,67
Arkansas,87,60
Arkansas State,75,52
Army,64,NULL
Auburn,83,65
Ball State,78,61
Boise State,91,58
Boston College,97,82
Bowling Green,73,67
Buffalo,87,72
California,86,79
Central Florida,85,65
Central Michigan,81,72
Charlotte,73,69
Cincinnati,91,68
Clemson,92,69
Coastal Carolina,83,64
Colorado,77,56
Colorado State,76,71
Connecticut,91,74
Duke,95,90
East Carolina,70,57
Eastern Michigan,78,57
Florida,96,39
Florida Atlantic,80,60
Florida International,80,64
Florida State,63,44
Fresno State,67,48
Georgia,54,34
Georgia Southern,69,59
Georgia State,82,70
Georgia Tech,88,67
Hawaii,74,57
Houston,66,58
Illinois,91,75
Indiana,87,66
Iowa,80,60
Iowa State,91,67
Kansas,85,59
Kansas State,94,70
Kent State,85,65
Kentucky,88,53
Liberty,73,52
Louisiana Tech,75,61
Louisiana-Lafayette,82,62
Louisiana-Monroe,85,61
Louisville,94,78
LSU,69,30
Marshall,78,61
Maryland,78,68
Massachusetts,71,62
Memphis,93,69
Miami (Fla.),83,52
Miami (Ohio),90,73
Michigan,81,72
Michigan State,78,65
Middle Tennessee,95,72
Minnesota,90,66
Mississippi,82,64
Mississippi State,80,65
Missouri,79,69
Navy,90,NULL
Nebraska,92,68
Nevada,87,69
Nevada-Las Vegas,79,62
New Mexico,73,54
New Mexico State,85,67
North Carolina,71,59
North Carolina State,79,52
North Texas,80,56
Northern Illinois,83,63
Northwestern,81,65
Notre Dame,89,78
Ohio,90,73
Ohio State,86,56
Oklahoma,75,53
Oklahoma State,82,68
Old Dominion,67,52
Oregon,76,65
Oregon State,90,77
Penn State,89,74
Pittsburgh,94,65
Purdue,81,66
Rutgers,75,56
San Diego State,86,71
San Jose State,71,57
South Alabama,80,62
South Carolina,89,62
South Florida,77,63
Southern California,79,54
Southern Mississippi,68,55
Stanford,94,86
Syracuse,82,69
Tennessee,82,47
Texas,73,51
Texas A&M,76,56
Texas Christian,74,64
Texas State,69,50
Texas Tech,71,45
Texas-El Paso,82,62
Texas-San Antonio,87,64
Toledo,93,69
Troy,75,57
Tulane,88,75
Tulsa,71,63
UCLA,66,51
Utah,90,76
Utah State,85,67
Vanderbilt,96,80
Virginia,85,70
Virginia Tech,77,62
Wake Forest,93,76
Washington,64,55
Washington State,86,57
West Virginia,83,53
Western Kentucky,75,65
Western Michigan,74,40
Wisconsin,88,79
Wyoming,90,53