School,Revenue
Air Force,NULL
Akron,12354872
Alabama,140831439
Alabama at Birmingham,28840003
Appalachian State,194500000
Arizona,51865116
Arizona State,70375000
Arkansas,99599352
Arkansas State,8593341
Army,NULL
Auburn,128960499
Ball State,9959351
Boise State,27172138
Boston College,37155617
Bowling Green,8370915
Buffalo,12283034
California,61566987
Central Florida,29550300
Central Michigan,12314270
Charlotte,NULL
Cincinnati,21140792
Clemson,72218581
Coastal Carolina,NULL
Colorado,72425832
Colorado State,20588154
Connecticut,32695983
Duke,35987926
East Carolina,18270690
Eastern Michigan,12794163
Florida,117963328
Florida Atlantic,12532745
Florida International,16435347
Florida State,94597591
Fresno State,18658904
Georgia,138088467
Georgia Southern,NULL
Georgia State,NULL
Georgia Tech,59422543
Hawaii,16823588
Houston,22613559
Illinois,52784303
Indiana,61193975
Iowa,100040046
Iowa State,47732812
Kansas,64704137
Kansas State,68787446
Kent State,10308661
Kentucky,66574141
Liberty,NULL
Louisiana Tech,10385387
Louisiana-Lafayette,11804496
Louisiana-Monroe,6682465
Louisville,58011677
LSU,122703938
Marshall,13067058
Maryland,49907652
Massachusetts,NULL
Memphis,19849064
Miami (Fla.),47820654
Miami (Ohio),12608689
Michigan,133665548
Michigan State,75674898
Middle Tennessee,13572649
Minnesota,73576081
Mississippi,78736032
Mississippi State,50754094
Missouri,42568466
Navy,NULL
Nebraska,93990274
Nevada,14023542
Nevada-Las Vegas,14741875
New Mexico,16789019
New Mexico State,7969929
North Carolina,50024180
North Carolina State,51911816
North Texas,15870821
Northern Illinois,10300855
Northwestern,58545202
Notre Dame,118740294
Ohio,14749167
Ohio State,136574384
Oklahoma,126416865
Oklahoma State,63909363
Old Dominion,NULL
Oregon,81953780
Oregon State,48212470
Penn State,103736242
Pittsburgh,48091636
Purdue,55132293
Rutgers,35376322
San Diego State,19148065
San Jose State,10923665
South Alabama,NULL
South Carolina,101297652
South Florida,24026107
Southern California,74174551
Southern Mississippi,9776959
Stanford,68340862
Syracuse,44613716
Tennessee,113766836
Texas,163928296
Texas A&M,101114415
Texas Christian,66084236
Texas State,NULL
Texas Tech,61914432
Texas-El Paso,12808393
Texas-San Antonio,NULL
Toledo,13339849
Troy,13247801
Tulane,NULL
Tulsa,NULL
UCLA,64845985
Utah,61344782
Utah State,13904944
Vanderbilt,36915107
Virginia,31675701
Virginia Tech,65851157
Wake Forest,32604709
Washington,102248826
Washington State,51125157
West Virginia,34050353
Western Kentucky,13764592
Western Michigan,12863908
Wisconsin,88713614
Wyoming,20381998